variant_id,variant_name,mistral,phi3,llama3.1,qwen2.5,gemma2,qwen3
V1,baseline,0.4669431568675287,0.1379310344827586,0.4407096171802054,0.5365269461077844,0.4483720930232558,0.4809414172422614
V2,R,0.4543946932006633,0.2560240963855421,0.4722587430975545,0.5345399698340875,0.4437299035369774,0.482811698306824
V3,A,0.4898064516129032,0.4132029339853301,0.5497264242034117,0.5700483091787439,0.5009198423127464,0.5434391851408028
V4,C,0.4529190207156309,0.0556088207094918,0.4663648124191462,0.4932521831172268,0.4540948784517347,0.4772497472194135
V5,T,0.4962566844919786,0.4801247077162899,0.4119200301772915,0.5085872576177286,0.4429499072356215,0.5532824427480916
V6,F,0.5668233713901948,0.5173041894353371,0.5501269035532995,0.5851188157382158,0.5296306899513312,0.5903814262023218
V7,R+F,0.5674538984147525,0.5331010452961673,0.519406392694064,0.5830346475507766,0.5304396843291995,0.594059405940594
V8,T+F,0.4711111111111111,0.4381443298969072,0.23986856516977,0.5707414829659319,0.5025238362310712,0.6268533772652388
V9,R+A+F,0.5593798449612403,0.5655110310670869,0.470734126984127,0.5589113840026553,0.5144100054377378,0.5621939275220372
V10,R+A+T,0.4608717817996431,0.4779678589942975,0.4970491803278689,0.5426829268292682,0.4544159544159545,0.5435927442949093
V11,A+C+T,0.4832034399355012,0.4656716417910447,0.5081433224755699,0.5555202036271079,0.4714038128249567,0.5591333132711406
V12,A+T+F,0.4615781330582775,0.46115753636645,0.5011037527593819,0.5679099225897256,0.4964539007092199,0.6015481017323995
V13,R+T+F,0.4729546072302256,0.4481952739548169,0.3610719322990126,0.5755395683453237,0.4821473790833122,0.613603473227207
V14,C+T+F,0.4467236467236467,0.4609724047306176,,0.5708136030994404,0.499867197875166,0.6179819395367098
V15,R+C+T+F,0.452182952182952,0.4640883977900552,0.3595617529880478,0.5807770961145193,0.4795,0.6182481751824817
V16,R+A+C+T,0.4735347276013426,0.4725330620549339,0.4948108470036827,0.5367164179104478,0.4541547277936962,0.5460448642266824
V17,R+A+T+F,0.4399049881235155,0.4858536585365854,0.4704327717211761,0.5563128854268095,0.4847864996164663,0.5856279382135662
V18,R+A+C+T+F,0.4386510404209519,0.4891915901687888,0.4935310823603661,0.5719166381961052,0.4771011575239053,0.5910958904109589
